paramName,playerHp,playerMaxHp,playerEnergy,playerMaxEnergy,playerGold,energyRecoveryPerFrame,energyRecoveryOnHit,autoModeSpeedMult,enemyHpMult,enemyDamageMult
default,80,80,3.0,3,99,0.003,0.15,10,1.0,1.0
easy_beginner,150,150,5.0,5,150,0.006,0.30,10,0.5,0.5
easy_rich,120,120,4.0,4,300,0.005,0.25,10,0.7,0.7
easy_tank,200,200,3.0,3,99,0.003,0.15,10,0.6,0.8
easy_fast_energy,100,100,4.0,4,99,0.010,0.40,10,0.8,0.8
normal_balanced,80,80,3.0,3,99,0.003,0.15,10,1.0,1.0
normal_high_energy,80,80,5.0,5,99,0.005,0.20,10,1.0,1.0
normal_low_gold,80,80,3.0,3,30,0.003,0.15,10,1.0,1.0
normal_tough_enemies,80,80,3.0,3,99,0.003,0.15,10,1.5,1.0
normal_aggressive,80,80,3.0,3,99,0.003,0.15,10,1.0,1.5
hard_mode,50,50,2.5,2,60,0.002,0.10,10,1.5,1.5
hard_glass_cannon,30,30,6.0,6,99,0.008,0.30,10,1.0,2.0
hard_energy_drought,80,80,1.5,1,99,0.001,0.05,10,1.5,1.0
hard_broke,40,40,3.0,3,10,0.003,0.15,10,1.5,1.5
hard_bullet_sponge,60,60,3.0,3,99,0.003,0.15,10,3.0,1.0
extreme_nightmare,30,30,2.0,2,30,0.001,0.05,10,2.5,2.5
extreme_no_energy,80,80,1.0,1,99,0.0005,0.02,10,2.0,2.0
extreme_iron_man,20,20,5.0,5,99,0.006,0.25,10,2.0,3.0
extreme_swarm,25,25,3.0,3,99,0.003,0.15,10,4.0,1.5
speedrun_x20,80,80,3.0,3,99,0.003,0.15,20,1.0,1.0
speedrun_x50,80,80,3.0,3,99,0.003,0.15,50,0.5,1.0
debug_invincible,9999,9999,99.0,99,9999,1.0,1.0,20,0.1,0.1
debug_instant_kill,80,80,3.0,3,99,0.003,0.15,10,0.01,0.01
rich_lazy,80,80,3.0,3,9999,0.010,0.50,10,0.5,0.5
energy_god,80,80,10.0,10,99,0.050,1.0,10,1.0,1.0
survival_frugal,40,40,2.0,2,5,0.002,0.08,10,1.2,1.2
challenge_no_shield,60,60,4.0,4,99,0.004,0.00,10,1.3,1.3
challenge_regen,50,50,3.0,3,99,0.020,0.15,10,1.5,1.5
challenge_elite_only,70,70,3.0,3,99,0.003,0.15,10,2.0,1.8
auto_test_quick,80,80,3.0,3,99,0.003,0.15,30,0.3,1.0
